University Name,Tuition Cost,State,Courses Offered,Scholarships Offered,Percentage of Students on Scholarship,Acceptance Rate,Ranking of University,Cost of Living
"University of Thomas, Jenkins and Watson",43000,Washington,"Business, Engineering, Psychology",Yes,36.01,58.86,422,4000
University of Daniels-Doyle,37000,North Carolina,Engineering,No,0,45.18,302,4000
School of Osborne and Sons,42000,Massachusetts,Biology,No,0,16.37,202,5000
College of Buck-Gutierrez,35000,New Hampshire,"Business, Art History, Biology, Psychology, Engineering",Yes,62.73,55.44,131,3000
School of Hendricks Inc,19000,Massachusetts,"Business, Art History, Biology, Computer Science, Psychology",Yes,15.07,48.92,254,4000
Institute of Stevenson-Gray,47000,Colorado,Computer Science,Yes,11.24,39.0,254,5000
Polytechnic Saunders-Franklin,26000,Ohio,Engineering,No,0,20.6,149,2000
University of Jones-Arellano,34000,Tennessee,"Engineering, Psychology, Business, Art History, Biology",Yes,40.74,50.04,240,3000
"Polytechnic Scott, Green and Clark",35000,Nevada,"Business, Biology, Engineering, Psychology",Yes,39.85,21.56,313,3000
College of Webb PLC,16000,Alabama,"Engineering, Psychology, Computer Science, Biology, Business",Yes,69.8,45.01,98,4000
"Institute of Garcia, Mason and Cooper",34000,Arkansas,Psychology,Yes,98.43,29.47,164,5000
College of Campos Group,22000,Texas,"Psychology, Engineering, Biology, Computer Science",Yes,96.68,51.87,98,4000
"School of Hayes, Martin and Simpson",41000,Connecticut,"Art History, Engineering, Computer Science, Business, Psychology, Biology",No,0,54.47,126,3000
Polytechnic Tate Inc,38000,South Carolina,"Engineering, Art History, Biology, Psychology, Computer Science",Yes,8.15,27.07,37,3000
School of Johnson and Sons,47000,Kansas,"Psychology, Computer Science",Yes,70.46,54.06,493,3000
"Polytechnic Galloway, Mendoza and Gonzalez",17000,Idaho,"Art History, Biology, Engineering, Psychology, Business, Computer Science",No,0,38.92,402,3000
College of Roach-Lynch,26000,North Dakota,"Biology, Business, Engineering, Art History, Computer Science, Psychology",Yes,59.73,57.17,355,2000
"Polytechnic Dyer, Mccoy and Morrison",49000,Nebraska,"Art History, Computer Science, Business, Psychology, Engineering",No,0,22.05,127,4000
Institute of Rodriguez PLC,22000,Rhode Island,"Art History, Psychology, Biology, Computer Science",No,0,58.91,19,4000
Polytechnic Wagner PLC,17000,Delaware,"Computer Science, Biology, Art History, Psychology, Engineering, Business",Yes,3.54,39.09,371,3000
School of Duarte Group,25000,Kentucky,"Computer Science, Engineering, Business, Biology, Psychology, Art History",No,0,39.86,134,3000
University of Williams and Sons,10000,Texas,"Computer Science, Art History, Business, Engineering, Biology, Psychology",No,0,16.42,211,4000
College of Brown-Chavez,45000,Washington,"Engineering, Art History, Computer Science, Business, Psychology",Yes,48.18,11.27,466,3000
University of Anderson Ltd,45000,Nebraska,"Business, Computer Science, Biology, Psychology",No,0,38.64,78,4000
"Institute of Jennings, Lane and Williams",17000,Maine,"Biology, Business, Psychology, Art History",No,0,28.58,248,2000
"Polytechnic Wolf, Hudson and Smith",42000,Missouri,"Business, Engineering, Psychology, Art History",Yes,78.02,42.88,296,3000
Institute of Foley Ltd,15000,Delaware,"Art History, Engineering, Psychology, Computer Science",No,0,38.02,233,2000
"College of Oneal, Kelly and Stephenson",28000,Ohio,"Art History, Engineering, Business, Psychology, Computer Science",No,0,34.32,174,2000
"School of Cannon, Johnson and Ross",43000,Wyoming,"Art History, Engineering, Business, Psychology, Computer Science",No,0,52.78,188,3000
College of Morris PLC,16000,Mississippi,"Art History, Computer Science, Business",Yes,35.17,15.59,65,4000
Polytechnic Drake Ltd,24000,Georgia,"Engineering, Business, Biology, Art History, Computer Science, Psychology",No,0,11.04,188,4000
School of Harper-White,12000,Nebraska,"Business, Engineering, Art History, Psychology",Yes,74.54,16.25,390,2000
University of Decker PLC,50000,New Mexico,"Art History, Engineering, Computer Science",Yes,14.13,28.87,14,3000
Institute of Wood-Harris,44000,South Carolina,"Art History, Business, Biology, Engineering, Computer Science",No,0,56.34,108,3000
"University of Coleman, Potter and Fox",17000,Kansas,Business,No,0,27.73,442,5000
Institute of Bautista LLC,25000,Rhode Island,Computer Science,No,0,36.3,253,5000
"School of Myers, Bailey and Manning",16000,Idaho,"Art History, Computer Science, Psychology, Biology, Business",Yes,41.34,1.13,11,4000
Polytechnic Turner-Howard,49000,Washington,"Psychology, Art History, Biology, Business, Engineering, Computer Science",Yes,18.62,5.8,40,3000
University of Horton and Sons,31000,Louisiana,"Psychology, Computer Science, Business, Engineering",Yes,76.25,53.71,183,4000
University of Gallegos-Pierce,44000,Tennessee,Art History,No,0,19.12,219,4000
"Institute of Russell, Henry and Diaz",28000,Illinois,"Business, Biology, Computer Science",No,0,11.51,26,3000
University of Pierce-Chen,16000,West Virginia,"Biology, Computer Science, Engineering",Yes,21.78,58.28,474,5000
University of Macias LLC,18000,Virginia,"Business, Engineering, Computer Science",No,0,37.77,320,3000
College of Newton-Peters,44000,Idaho,"Biology, Psychology, Business",No,0,7.95,447,2000
Polytechnic Gay and Sons,18000,Maine,"Computer Science, Biology",Yes,72.36,29.57,126,3000
University of Parsons Ltd,24000,Pennsylvania,"Psychology, Biology, Computer Science, Art History, Business",Yes,90.9,36.71,102,2000
"School of Bean, Ward and Ortega",30000,Indiana,Engineering,Yes,76.38,1.97,38,3000
School of Bailey Group,36000,Texas,Engineering,No,0,5.11,146,3000
School of Barnes-Johnson,43000,Indiana,Psychology,Yes,40.66,48.46,297,2000
"University of Lawson, Johnson and Le",37000,Wisconsin,"Engineering, Computer Science, Biology, Psychology, Art History",No,0,49.93,450,5000
"Institute of Lawrence, Chen and Evans",17000,Kentucky,Business,Yes,11.88,38.79,174,4000
College of Griffith-Castro,45000,New Hampshire,"Business, Psychology, Computer Science, Biology, Engineering",Yes,25.48,28.76,70,5000
"Polytechnic Edwards, Gomez and Murray",18000,North Carolina,"Psychology, Business, Engineering, Computer Science, Art History, Biology",Yes,17.04,42.42,155,5000
Polytechnic Garcia-Potts,22000,Indiana,"Art History, Engineering, Business, Biology",No,0,58.4,320,2000
"Polytechnic Kelly, Branch and Hines",21000,Delaware,"Psychology, Biology, Engineering, Art History",Yes,57.09,45.3,181,2000
College of Gibson-Bruce,34000,Alabama,"Biology, Psychology, Art History, Computer Science, Business",Yes,72.3,47.9,178,4000
"School of Davis, Johnson and Smith",19000,Kansas,"Biology, Engineering",Yes,88.49,47.3,410,3000
College of Black LLC,21000,Illinois,"Business, Computer Science, Engineering, Art History",Yes,7.05,33.75,485,3000
Institute of Smith LLC,19000,Illinois,"Psychology, Computer Science, Biology, Engineering",Yes,86.92,17.15,450,2000
School of Jackson-Sullivan,18000,Virginia,"Business, Biology, Computer Science, Psychology",Yes,83.46,47.6,364,5000
University of Alexander-Nguyen,34000,Louisiana,"Engineering, Art History, Psychology, Biology",Yes,29.71,40.05,202,3000
"College of Sanchez, Melton and Williams",42000,Rhode Island,"Art History, Computer Science, Biology, Psychology, Engineering",No,0,9.16,246,5000
Polytechnic Alvarez Group,26000,Nevada,"Biology, Engineering, Psychology",Yes,2.59,55.6,115,4000
College of Garza Ltd,22000,Kansas,"Computer Science, Biology, Art History, Engineering, Psychology, Business",No,0,12.08,27,5000
Polytechnic Richardson-Obrien,23000,Vermont,Engineering,Yes,27.18,37.84,198,2000
College of Gonzalez LLC,39000,Wyoming,"Business, Biology, Art History, Computer Science, Psychology",Yes,50.25,24.78,205,4000
Polytechnic Johnson-Conner,28000,Washington,"Psychology, Business, Art History",No,0,35.64,310,4000
"Institute of Nguyen, Caldwell and Mcdowell",32000,Michigan,"Psychology, Engineering, Art History, Biology, Computer Science, Business",No,0,26.71,162,5000
University of Williams-Salas,33000,Mississippi,Computer Science,No,0,12.77,36,4000
"Institute of Lane, Cameron and Padilla",19000,North Dakota,"Engineering, Business",Yes,18.41,25.6,137,4000
"Polytechnic Hernandez, Norris and Murphy",22000,Virginia,"Biology, Art History, Business",No,0,37.65,140,3000
Polytechnic Kennedy-Romero,27000,Alaska,"Business, Biology, Engineering, Art History, Computer Science",Yes,33.42,32.45,454,2000
"Polytechnic Reed, Brown and Santiago",26000,Mississippi,Engineering,No,0,16.5,237,4000
School of Miller LLC,14000,New Hampshire,"Engineering, Business",No,0,35.29,196,4000
University of Gonzalez Ltd,30000,Kansas,Engineering,No,0,40.6,201,4000
School of Sampson Group,25000,North Dakota,"Engineering, Biology, Business",No,0,9.45,178,2000
"College of Castro, Freeman and Rosales",28000,North Carolina,"Computer Science, Biology, Psychology, Business",No,0,25.01,227,3000
University of Barker-House,33000,Pennsylvania,"Biology, Computer Science",Yes,47.62,1.21,398,4000
University of Nichols-Smith,20000,Wyoming,Computer Science,Yes,82.71,28.06,42,2000
School of Knapp Inc,27000,New Jersey,"Computer Science, Psychology, Biology, Business, Engineering, Art History",Yes,96.43,48.87,109,3000
University of Taylor PLC,26000,New York,"Art History, Computer Science",Yes,24.57,2.61,175,3000
"Polytechnic Holmes, Aguilar and Pena",13000,Kentucky,"Art History, Computer Science",Yes,44.4,58.72,170,4000
"Polytechnic Hines, Snyder and York",26000,North Carolina,"Business, Computer Science, Art History, Psychology, Biology",No,0,21.01,154,2000
University of Murphy Ltd,37000,Oregon,"Engineering, Psychology",No,0,36.45,26,3000
School of Riley-Taylor,17000,Washington,"Computer Science, Business",Yes,68.71,41.28,312,5000
University of Cook Inc,23000,Rhode Island,"Engineering, Biology, Computer Science",No,0,43.23,498,2000
University of Perkins-Allen,33000,Iowa,"Art History, Engineering, Biology",Yes,17.23,17.77,480,4000
"College of Forbes, Bender and Richardson",12000,New Mexico,"Engineering, Art History, Computer Science, Business, Psychology",No,0,20.21,359,5000
University of Ward LLC,30000,Oklahoma,Engineering,Yes,29.2,21.27,368,3000
Polytechnic Cruz Group,48000,Alabama,"Engineering, Business, Computer Science, Psychology, Biology",No,0,8.68,492,2000
University of Joyce Ltd,34000,Ohio,Psychology,Yes,44.79,6.78,269,5000
University of Hernandez LLC,38000,Connecticut,"Biology, Psychology",No,0,21.96,358,2000
"School of Sandoval, Wallace and Duffy",14000,Pennsylvania,"Engineering, Business",Yes,5.71,54.88,267,3000
University of Kim-Carter,25000,Illinois,"Psychology, Business, Engineering, Computer Science, Biology",Yes,16.66,54.42,22,4000
College of Fields Group,35000,Washington,"Biology, Engineering, Psychology, Art History, Computer Science",Yes,11.4,45.08,278,2000
"College of Brown, Owens and Hayes",39000,Georgia,"Business, Engineering",Yes,2.51,24.41,280,4000
University of Collins PLC,20000,Alaska,Art History,No,0,59.12,394,5000
University of Hunt Ltd,45000,Vermont,"Biology, Engineering, Business",Yes,21.05,40.91,139,5000
School of Oliver-Schaefer,29000,Colorado,"Art History, Engineering, Computer Science",Yes,21.84,50.5,100,3000
"University of King, Simmons and Tucker",45000,Idaho,"Biology, Psychology, Business",Yes,48.65,13.35,339,3000
Polytechnic Rivera and Sons,26000,Kansas,"Engineering, Business",No,0,13.85,125,4000
"School of Stephens, Carter and Gonzalez",18000,California,"Art History, Biology, Business, Psychology",Yes,15.79,59.69,348,5000
University of Patterson-Powell,13000,Nebraska,"Engineering, Psychology, Computer Science, Biology",No,0,59.53,83,3000
School of Johnson-Johnson,46000,West Virginia,"Business, Biology, Psychology",No,0,57.7,29,3000
"Institute of Sutton, Bailey and Howe",44000,New Hampshire,"Computer Science, Business, Biology, Art History, Psychology, Engineering",Yes,39.29,11.89,161,2000
Polytechnic Levy PLC,37000,New Jersey,"Business, Biology, Engineering, Computer Science",No,0,23.66,484,2000
Institute of Welch-Blevins,39000,Hawaii,"Biology, Engineering",Yes,0.46,22.17,494,3000
Institute of Ortiz Ltd,26000,South Dakota,"Computer Science, Biology, Business, Art History, Engineering",No,0,44.16,492,3000
University of Patel Inc,42000,Iowa,"Biology, Art History, Psychology",No,0,6.57,479,5000
Institute of Long PLC,45000,North Dakota,"Business, Engineering, Psychology, Biology",No,0,12.12,351,2000
